0 285 279 270 
1 277 270 279 
2 272 267 268 
3 317 327 320 
4 366 373 379 
5 278 265 281 
6 313 311 314 
7 313 311 295 
8 276 237 234 
9 243 252 266 
10 211 235 219 
11 267 248 271 
12 291 316 296 
13 321 317 335 
14 291 309 272 
15 282 280 279 
16 272 244 244 
17 690 719 712 
18 314 302 302 
19 279 299 306 
20 233 260 260 
21 247 248 261 
22 186 294 276 
23 221 204 194 
24 252 245 282 
25 230 221 225 
26 349 356 350 
27 325 330 324 
28 241 239 235 
29 284 283 302 
30 236 239 277 
31 245 271 288 
32 288 270 264 
33 235 222 238 
34 276 278 276 
35 367 363 362 
36 286 265 254 
37 378 361 363 
38 232 246 246 
39 352 361 358 
40 372 388 374 
41 339 349 342 
42 286 292 270 
43 323 303 297 
44 314 322 237 
45 262 238 247 
46 277 269 274 
47 284 259 272 
48 318 316 337 
49 252 274 278 
50 311 323 322 
51 327 335 341 
52 359 368 369 
53 225 209 224 
54 265 256 317 
55 212 226 202 
56 272 272 264 
57 215 232 216 
58 275 273 277 
59 254 267 241 
60 264 257 268 
61 233 265 238 
62 260 228 306 
63 259 227 234 
64 262 234 255 
65 252 245 243 
66 424 412 418 
67 246 197 196 
68 228 221 219 
69 272 304 317 
70 301 292 282 
71 279 280 275 
72 246 244 261 
73 217 220 222 
74 223 229 243 
75 280 283 275 
76 261 265 265 
77 252 268 272 
78 283 310 279 
79 268 300 303 
80 248 236 196 
81 445 470 459 
82 269 309 275 
83 429 427 428 
84 290 267 346 
85 322 390 370 
86 242 201 221 
87 270 267 265 
88 266 264 212 
89 282 274 281 
90 266 260 268 
91 271 205 270 
92 305 307 298 
93 284 311 294 
94 201 213 196 
95 378 384 380 
96 303 288 328 
97 309 304 311 
98 261 261 259 
99 275 265 256 
